text,likes,replies
Johnnie needs to get educated.,1,0
"So from this point going forward, the Bureau of Labor Statistics Job numbers are always going to be better than expected… thanks Donald for making America great again . Corruption always makes everything better",6,5
GFH is doing great. Pray for them always.,0,0
Really fox Really blah blah blah blah blah blah.,3,0
I am shocked at conflicting stories about Gaza. Every one is politicizing palestinian suffering Abuse of hostages no one is talking about.,0,0
Blah blah blah trump is a moron good luck with that fox.,3,0
why not arrest all the UN officials colluding with hamas?,0,0
"in which area of Dearborn, Michigan was this filmed?",2,2
Stop giving taxpayer dollars to these thieves,0,0
How can you say in the same breath no trucks highjacked and then say the Envoys on Friday witnessed themselves UN Convoys being hijacked by armed men.,0,0
Horrible... too much corruption. Jail time,0,0
So the US can deliver pricision bunker busters no problem deliver weapons all day long but just can't get food to the right place?,1,0
What's with the siren in the background.,2,0
The UN accepts hamas figures. The UN was finished when they refused to acknowledge the atrocities commited by the gazans.,0,0
What are all the sirens in the background??,2,0
Ban un,1,0
I have thought since 2012 at least the UN is compromised. UN and their opinions are absolutely nothing to me as an American citizen . I wish trump would get their building out of the US and tear it the F down.,0,0
"“Without music, life would be a mistake.” ― Friedrich Nietzsche",0,0
Hamas and UN are two sides of the same coin.,0,0
Starvation denial,2,0
So why hasn't the food been distributed.,0,0
So this is what lying through your teeth looks like?,1,1
The hypnotized sheep will never believe the truth.,0,0
What's with the police sirens?,1,0
So much Hamas propaganda is being repeated by people who should know better. What happened to real journalism?,0,0
WHY is UN stopping trucks?,0,2
What’s with the alarm in the background?,1,0
Liars,2,0
The Media is trying to determine policy's.,1,0
The UN created this problem in 1948,0,0
Congress should declare interest when bought by AIPAC.,1,0
FAUX NEWS,1,0
He looks like a liar lol,2,0
Respect,0,0
"The UN doesn’t have an army on the ground, nor does anyone else except Israel who have been killing people in food lines, but here he is the blaming of the UN. This isn’t a single person on the ground this is multiple humanitarian organisations saying the same thing. Critisicing Israel does not make you a supporter of Hamas.",1,0
When will Gaza become an Israeli suburb?,0,0
"""Nazis say there are restaurants in the Warsaw ghetto."" Is what you sound like with these headlines",0,0
"Why don't France, Canada and the UK distribute the aid?",0,0
This should not be our problem.,2,0
corruption at every single level in every single person,0,0
anthony has nothing to gain from this . He’s been disrespected and discredited as a liar. why would a man who served his country of 25 years and a purple heart recipient tarnish his legacy . He faces the crictism . Johnnie moore turns of the comments,0,0
"The proper name for United Nation should be renamed to ""Divided Nation"".",0,0
Why are we obligated to feed them? Where's my semi trucks with free food?,1,1
I don’t understand why this has to happen,0,0
"Supplies are there, rotting in the sun because not being distributed by the UN.",0,0
"So when the story supports your agenda they are telling the truth but when it doesn't, they are lying?",0,0
"I do not feel this interview is ""credible."" Do not forget, the world can see real time what is happening.",1,1
YouTube for some reason it's letting me comment but I cannot like or dislike videos. I can like or dislike comments still. Am I being shadow censored?,1,1
"Lies lies, Lies !!!!!",1,0
It's about time someone covered this well known fact!,0,0
Reported Gaza population has increased since they attacked the peace concert,0,0
UN has and continues to an issue as always ...,0,0
"The UN is angry about its dominance in Gaza being curtailed by GHF. UNRWA, one of the four UN agencies responsible for Gazans, has had a mutually beneficial relationship with Hamas since 2008, colluding with them to exploit and oppress Gazans. It's in the UN's interest to promote Hamas propaganda about ""starvation"", ""war crimes"", and ""suffering"". It's also in the UN's interest to turn a blind eye to the decade of Hamas firing missiles into Israel's civilian population centers.",0,0
The U.N. is a disaster. We need out.,0,0
"After other countries exerted considerable diplomatic pressure on Israel, the country decided last week to allow some emergency aid. This is being provided by the UN, which will continue for the time being. The famine in Gaza has worsened significantly after Israel decided in early March to allow little to no food into the country. According to experts, the worst man-made famine in decades is currently underway.",0,0
