text,likes,replies
"But let's be honest, at any time, thinking that Ukraine was going to win was day-dreaming. We have made fun of the Russians as much as we could because of the early logistical mistakes but remember, we suffered from the same problem in Iraq war. The Abrams would push to far ahead. We should be thankful the Iraqis didn't have MANPADS or anti tank weaponry or that embarrassment alone would have stopped the invasion.",43,9
Why should the American tax payer rebuild Ukraine for Putin? Best to rethink this Senator. We've already given Ukraine $41B and for what?,41,4
We have no business over there again we are not taking care of business at home,25,0
Thank you madam for finally admitting the truth.,5,0
What she is smoking?,1,0
"Tying in Ukraine too the west, is what caused this problem lady , IE 2014 throwing a legally elected president Yanakovic out of office. Regime change , what we do best, when leader won't bend a knee",6,1
Ukraine lost the war when they broke the MINSK agreement,5,3
"Where do you get your info lady? Nobody investing in Russia? Thats laughable. China , India , Brazil and many other countries are investing massively. And Europe has no choice but to buy their energy from Russia.",19,1
"""Amerecia is feeding the ukranian war"" crazy as it sounds, it is the truth madam. There is no one who would beleive otherwise .",1,0
Calling the lady an expert? Any housewife could be this level of expertise,5,1
I remember when we had Walter Kronkite. And that was enough.,20,2
According to the Geneva Convention mercenaries are outlaws so not protected by the Geneva Convention so they can be executed.,44,6
"Real winner is American military industrial complex. And the shareholders! Not only Ukraine, soon we will see other European countries spending billions. So just buy their stocks",17,3
"Actually, calling them mercenaries means we probably won't get them back, nor should we concern ourselves with them.",15,0
Let the two mercenaries suffer the consequences of their stupid decision,24,5
I'm not hearing from Germany and France losing soldiers in Ukraine.,11,1
We have all learned so much the past months about the horrible crimes commited. Im glad to read that many brave men try to go and help to stand for what is good.,5,1
"Oh theyve BEEN losing this war for oh, 100+ days now. But cannot say that when youe spending 60,000,000,000 of our money.",33,4
"This woman's wishful thinking that no one will invest in Russia. As long as there is money to be made, there will be someone to invest in Russia",46,6
Spending US money to Lose Anyway!,15,0
Reasonable guest. God bless this woman,4,1
"""Biden briefed on Americans missing in Ukraine"" And the Americans missing in TaliBidenStan?",14,0
Mercenary for Russia mean they are not treated as prisoners of war and will be treated as criminals with long prison sentences .,8,0
Ukraine will never win against Russia,18,3
"Three times Ukraine agreed to peace in various treaties. The last of which was Minsk. The west sat by while these agreement were broken with six years of war by an armed force trained and supplied by the west. Now that defeat is imminent once again, why would anyone negotiate when they know these facts. Meanwhile the Monroe doctrine continues in the west. Those of us old enough to have lived through the Cuban missile crisis cringe with horror at the idea of NATO being on Russia' borders with ICBM's.",37,4
Ukraine has been losing the war since it started. Ukraine never stood a chance against Russian. It's time for the reality to settle in for fold and but down the call of duty controllers.,15,0
40 billion and nothing changed,11,1
Next bring on General Kean on to say Ukraine is about to take Moscow.,22,0
that's why u need to divest your News ' sources. go to see different channel others international channels you will be better informed.,1,0
...and the US economy mirrors every step.,14,0
This is totally unfuckingbelievable,26,3
NATOs hubris in negotiations and eastward expansion started this war.,21,1
USA and Nato should not have instigated Ukraine war in the first place. They should have foreseen 30 years of repeatedly reneging on its promises not to expand Nato to threaten Russia would surely lead to Russian retaliation. Respect others to be respected.,1,0
Trump should come to the office and lift the sanctions on Russia and end the suffering of the poor!,5,0
Putin is international Pariah. Just to clarify international means US and Europe,21,0
"I was wondering why, they haven't been saying much about the war?",64,11
A strong Russia and China are a security council to humanity.,20,3
If these mercenaries acted on their own so be it .,11,2
We have sent them all kinds of arms plus billions and billions of dollars why are they not getting results or is everybody just lying we need many things here inflation is out of control and they keep sending them money and you say they're losing why,94,28
