text,likes,replies
"1. I Gaurav Arora want to tell my country people and the governments of other countries that the sky which we consider to be blue or sky blue in colour, is actually a blue coloured laser weapon. It is facing the earth. And one more thing is that this 2G 3G 4G 5G 6G 7G technology, in 2G these laser weapons are lowered further and in 3G it is lowered further and in 4G it is lowered further and in 5G it is lowered further and in 6G it is lowered further and in 7G it is lowered further and then gradually when our brain starts getting weak due to these laser weapons, then these people control our brain. Like it is happening in our India and we Indians are being told that there is an ozone layer above the sky. And one more important thing, there is no ozone layer above the earth. We are lied to and you people should also check these things in your country and one more important thing is that the sky of our India is of sky blue colour. This is also artificial. This is a blue colour laser weapon, which is pointed towards the Indian soil. This is also damaging our brain, Modiji will have to answer.",1,0
free USA from AIPAC,6,1
America first MEANS America comes first NOT other countries thousands of miles away. I'm sick and tired of these freeloaders always with their hands out. Do they even say thank you?,31,13
The Hasbara Propaganda machine is on overdrive! But people see straight through it. just look at the comments on there,1,0
Propaganda!,4,0
Well you can't argue with the facts the land was promised to them 3000 years ago,10,1
Free palestine,4,0
The world condemned Israel now,4,0
No two state,23,3
Hasbara Propaganda sayanims,11,1
Gaza should be Annexed and Run as a Property Management Corporation.A DMZ Zone,5,1
Excellent spokesperson! I don't understand why she no longer works for Israel officially. Thank you Tal!,15,3
Trey Gowdy needs to keep his mouth shut. His statements are disgraceful and are gaslighting his guest.,1,0
"""De-radicalized."" Doesn't bat an eyelash about how badly this applies also to Israel. Don't radicalize beautiful people then say you want de-radicalized.",0,0
"“For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life.” ‭‭John‬ ‭3‬:‭16‬ ‭KJV‬‬",12,5
More Fox lies,15,12
No Palestinian state in Israel!,14,4
Palestinian is Hamas!,35,9
Maybe try not starving the Palestinians and work from there?,21,10
"80 % of Gazans support Hama , how will you deal with that ?",17,10
Israel never existed. It was Palestine. Ugh.,22,2
by starving?,4,0
"""demilitarized"", "" de-radicalized"", ""condo-ized""",0,0
The best way to do so is to stop international media from entering it and starting the de- radicalization process with AI power animations,0,0
"Free hostages, Free hostages, Free hostages xxxxxxxxxx",2,1
People have turned on Israel completely. It’s plain as day to see who is and isn’t bought at this point,0,0
"Independent free states parentheses that are not occupied, suppressed, free borders,land ,air and sea. Free from foreign armies in their land....EXPLAIN!!!!",0,0
"iow ""depopulation"" aka Genocide",2,0
I wanna know how yall stand up for a sexual predator how would you feel if it was your family your wife your daughter bet you feel totally different,2,2
And what about Israel demilitarising and deradicalising?,0,0
So much truth. Ty god.,4,0
"If it's about fentanyl, the amount of fentanyl coming into the US from Canada is only about 2%.",0,0
Yes we can see that,1,0
G-d bless Israel,1,0
They don’t have a military.,0,0
That woman is very wise! Am Yisrael Chai! Amen,6,0
"There needs to be a fund set up for the young IDF soldiers. Do not forget about their mental health like we Americans do with our soldiers. I'm praying for the hostages and their parents. I can't imagine what David's family is going through after seeing that video. Lots and lots of prayers for the hostages and their families. Let their be a miracle, Lord.",1,0
She. IS. SO. RIGHT. !!!,8,1
The same Russia demanded of Ukraine,0,0
And depopulated.,11,4
Of cause it's Trump's plan we are not fools,3,1
And de humanised,0,0
Please name Starmer as the useful 1d10t…,1,0
YHVH bless Israel.,3,0
I think that we are beyond what THEY want...,0,0
WHO start the war???,1,2
Thanks to all out supporters (Israeli here).,5,0
The Strong's exhaustive concordance says in the Hebrew dictionary that the Palestine Jerusalem is the capital of Palestine,0,0
"You are and will remain a beautiful woman inside and out Tal Heinrich And I could not understand what various ""leaders"" of the EU have done and said !!! Here in the Netherlands too you have such figures !! I am very happy that you explained it well, but the left has created a climate in which you are hardly allowed to say anything anymore, only if it suits them. But you are 100% right Tal Heinrich And I am glad to see you again Greetings from the Dutch man",4,0
"Here, on Another Episode of American Proxies Gone Wild...",10,0
Fox News should register under FARA,0,0
"Bottomless Endless Arab money to British and French politicians ,Israel for sale but remember, there's another dimension to life where money doesn't matter. Balaam blame busy bazaar.",0,0
Almost ratiod on Fox News,0,0
Another update which does not seem as an update! BS.,0,0
Israel can get freaked,0,0
"APLD STOCK IS MOVING UP NOW! AI DATA STOCK. SHORT SQUEEZE HAPPENING NOW,! BUY ALL YOU CAN AFFORD!! .......",0,0
Look! It's conehead,9,2
Heinrich himler,0,0
"I can tell that Israel is winning by how much the 'Palestinian' supporters are whining in the comments....More crocodile tears, please.",0,0
Trump Vance MAGA 2025 🇺🇸 Making America Great and Safe Again 🇺🇸 Trump Vance MAGA 2029 Vote REPUBLICAN in 2029,0,0
God bless Israel and the IDF! 🇮🇱🇮🇱🇮🇱,0,0
"just like americans want a country free from aipac, or want the release of the epstein files and i dont see that coming...",0,0
Wicked,0,0
Rotsa Ruck,1,0
"""sterilized""",0,0
Revelation 3:9,1,1
Will not happen,1,1
I encourage all tv hosts to emulate bible as Christians don't follow rumours everyday as Christians we know what has been prophesied on israel and we have to stand with them,2,0
"As PLO matured and became civilized, so will Hamas one day be too.",0,1
Seriously. The entire time I was in high school it was all this apartheid stuff. The Power of One. An Australian wrote that you know. White Saviour racism. Ha. International cricket and rugby is a big thing too so that made South Africa ever present. Even the movie The Lion King - I always assumed that Simba was basically Nelson Mandela. But yeah they even made us learn about it in school. Western populations need to feel like they are the good guys. Desmond Tutu. I know who he was. Johntey Rhodes. Ha. I still cant believe Trump played an Alex Jones video to try to humiliate the South African President at the Whitehouse in front of the world as if it was some type of checkmate. HA! Who the hell is advising him? We know what South Africa is... Even if we didnt any idiot can work out that a South African farmer isnt going to leave behind a farm worth millions to become an American refugee. You brought in white trash who claimed to have rented a farm house once. Ha. Crazy. Alex Jones level.,1,0
EPSTEIN FILES,0,0
Reee Ree palastine,0,0
You really need to comprehend how significant the end of apartheid was for non US Anglosphere nations and Im pretty sure for Europe too. But especially for us. Of the British Empire. You need to go back and study it. Work out how you would have stopped it.,1,2
Respikte l'ordre saï la more jessu je te Juju tramp au loi de Jésus Christ respikte l'ordre,0,0
Here's an idea...print more money and buy everything from everyone. Change all the laws and make everything great again.,0,0
Alirte à tous pouple de Jésus Christ tous sore saï jessu mai More de amirika alirte tous pouple soure riklami saï jessu nazarite,0,0
First.,1,2
I love Trey Gowdy. I always have.,3,1
Amen God bless Israel,1,0
America second it seems,0,0
"""If Israelis don't want to be accused of being like the Nazis, they simply need to stop behaving like Nazis.."" - Norman Finkelstein",0,0
Israel first,0,0
"Kamas kamas holocoust holocoust ,fed up of this crap for 80 years",0,0
"Yahudilikteki 10 emir nelerdir? TEVRATTA: • Seni Mısır diyarından, esirlik evinden çıkaran Allah benim. • Benden başka Tanrın olmayacak. ... • Allah'ın ismini boş yere ağzına almayacaksın. • Cumartesi (Sebt) gününü daima hatırlayıp onu kutsal kılacaksın. ... • Anne ve babana hürmet edeceksin. • Öldürmeyeceksin. • Zina yapmayacaksın. • Çalmayacaksın.",0,0
"Guys, honestly reading this book Secrets of The First Order felt like snapping out of a trance I didn’t even know I was in. For years I bought into the official narratives. History, media, government. I thought I had it figured out. Then this book flipped everything. It’s not just information, it’s a challenge. If you trust everything you’re told, this isn’t for you. But if some part of you knows there’s more going on than we’re allowed to see, this will shake you.",0,0
"Yo guys, I thought that this book Secrets of The First Order would be just another book talking about conspiracies. I wasn’t expecting much. But it completely shook me. It didn’t just suggest hidden truths, it tore everything wide open. Every page felt like a cold splash of water to the face. If you’ve ever felt like something is deeply off in the world but couldn’t explain it, this book connects all of it.",0,0
Bravo Tal.,2,0
G-d bless Israel,1,0
Israel first,1,0
"""The biggest insult to the memory of the Holocaust is not denying it, but using it as an excuse to justify the genocide of the Palestinian people."" - Norman Finkelstein",0,0
America second it seems,0,0
America second it seems,0,0
America second it seems,0,0
