text,likes,replies
God and Netanyahu can never have enough human sacrifices “ it’s in the Tanakh”,0,0
Gaza chose this. Choices have consequences.,1,0
Was this happening on Oct 6th? Nope. It all goes back to the keyword....ACCOUNTABILITY.,0,0
Oh I thought everyone was saying Hamas isn’t in the north of Gaza? Why are we moving anyone from north to south where Hamas is? Make it make sense. How is the world falling for bb’s bullshi*,1,0
운명이 어디로 갈까?,2,0
"""And the seas are all connected and we are all connected And you're living in denial if you think you won't be affected You can't hide behind your flag because water knows no border It'll creep in every crevice, it'll seep in every pore."" -Kimya Dawson",0,0
"Trump is so excited for his Trump Gaza golf resort. Anyone can build beachside, but it takes a real beast to build genocide.",0,0
City?,3,1
And The states will do Nothing,1,0
What's left to take over,1,0
과연 말이다,2,0
"Between this and Trump not allowing people to buy cake, ice cream, and candy bars with food stamps, the left just isn't having a good day.",3,1
Remember US provides the funding and ammo.,0,0
...and when we said they were going to do this 2 years ago our comments were deleted.,0,0
Why doesn't CNN realize something about the world condemning this,0,0
"Hes just trying to stay out of prison, they don't give a f$%&k about those missing hostage",0,0
Ariel Sharon should never have unilaterally withdrawn from Gaza in 2005. It was a big mistake that allowed Hamas to assume control.,2,0
israel has no choice in this matter of the conrol of gaza any more than russia’s answer to nato or the united states answer to cuban misses. it is what it is.,0,0
가자는 어디로 가고있는걸까?,2,0
Where’s Rashida Talib and how’s the protest vote working out now? The Arab for Trump movement got exactly what they deserve.,0,0
Devils at work,1,0
wonder if Putin will ask Trump to stop the war in Gaza when they meet,0,0
Far from over “forced evacuation of 1 million” good luck!!,0,0
“A plague on both your houses”,0,0
Mohamed never led his armies into the Judean Desert… true believer,0,0
Mask off.,2,1
"So, we are paying for this, people. Complain to your congress.",0,0
I keep looking for the videos of the food trucks being taken over by Hamas but they're not on CNN. Why won't you show them?????,0,0
Israel have the right to reunite with their promised land.,0,0
i'm so confused what was they doing this whoel time then?,1,0
🇮🇱,1,0
Some might even call it stingy,0,0
