text,likes,replies
TO THE CREATOR PROTECT THE INNOCENT PEOPLE!! I COULD NEVER SEE ISREAL THE SAME F THE PROPAGANDA!! THE WORLD SEES YOU AND EVERYONE BEING COMPLICIT ️,0,0
"The countries that also need to be involved in taking over & creating a new government in Gaza should be Jordan, Egypt & the UAE because they are pretty much the only ones that have displayed efforts of peace & cease fire negotiations & humanitarian efforts. With all the arab billionaires in the region, they should also be the main ones in these efforts & to look to help their neighbor in need of investments & rebuilding.",0,0
Mind Begs the Question: ︎If Hitler justified Holocaust ︎Claiming it necessitated for Ariens Security ︎If a Semitic State emulate same strategy ︎Democratic or Nazi?,0,1
Free America from israhell,0,0
Free of Gaza? Yea,0,0
When does construction start on the Trump Resort and Golf course?,0,0
War criminal,0,0
Hamas are not fighting back why not agree for ceasefire.,0,0
very dumb move,0,0
Herr Netanyahu’s Lebensraum.,0,0
"Just sing this song instead of cracking all our heads on what will become of the Palestinians at Gaza Strip after the IDFs come all in! Que sera sera. Whatever will be will be the future is not ours to see! Que sera sera! What will be will be! When we focus our mind our attention in the past we feel depressed, when we focus our attention in the future it’s uncertainty we feel anxious, but if we focus our mind and energy on the tasks of the present moment we feel active empowered productive and good energy sets in. We become Hopeful and Optimistic about the future ahead. As the Buddha says Happiness lies in the Present moment. K",0,0
I guess Oct 7th was a real bad idea.,3,1
America should be given Gaza,0,0
this mf is trying every trick to hold on to power haha,0,0
This is so wrong nasty people,0,0
그만금 아니면 이스라엘 네 시위거나,3,0
Common thieves.,0,0
Oh ! The only democracy in middle east my foot,0,1
God protect and deliver Israel to their promised land.,3,3
So the security cabinet wiil go to Haag also,0,0
"They had an opportunity in 1947, they had an opportunity in 2005. Israel is a generous country but not suicidal. The Gazans had two opportunities to build an independent state and instead chose jihad. There will not be a third opportunity for them.",1,0
Would you trust a snake to not bite you?,0,0
"Panic at CNN. Perhaps ad ""Hamas is saying that..."" in front of video title!",0,0
"Massive protests of 22 people,CNN has already lost all credibility",0,0
That was there plan all this time,0,0
Full support of Israel,0,0
The left are going to be pissed,1,0
GAZA WAS ALREADY OCCUPIED,0,2
madness,0,0
Make Gaza Israel again.,10,0
"Brought to you by Boeing, Lockheed Martin, Northrop Grumman, Caterpillar, Volvo, HD Hyundai, JCB, Microsoft, Google, Amazon, Dell, Hewlett Packard, IBM, and Cisco!",0,0
Isreal hostage said netayahu and bengvir ever dog eating,0,0
Isn't kind of wierd that hmas has been silent lately while ldf are doing what they want there?Hmmm.....,0,2
Can someone plz explain why many of their names look like polish or Slavic/eastern Euro-pean names? There is no archeological evidence of slavic people living in middle east even 4000 years ago. What are these people doing there apart from eastern Euro-pean fascism?,0,1
Gaza stripped lol,0,0
"The best people of North Africa and the Middle East are Jews, Berbers, Christians and atheists🇮🇱🇲🇦",0,1
Thank you President Trump and Israel for protecting western civilization,3,0
That's great and better than Hamas ruling.,1,1
Well done 🇮🇱 Israel Government,7,0
Força Israel 🇮🇱🇺🇦,0,0
All done,0,0
GOD BLESS NETANYAHU,1,0
10/7.,0,0
keep gaza,0,0
This is the cost of the street dancing on October 7.,0,0
Hiroshima 1945 Gaza 2025,0,0
"What is left of it , courtesy of the US Administration",0,0
Kate is sooo fine,0,0
Hamas has failed everyone!,2,0
Who can stop the evil?,1,2
Gaza Riviera here we come!,1,0
Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar,0,0
Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar,0,0
Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar,0,0
Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar,0,0
Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar,0,0
