text,likes,replies
We'll see if Trump is able to publicly accept that he was wrong about Putin. At this point we have only seen empty threats and I'm expecting to at least see Putin get his original 50 day deadline.,0,0
"Putin didn't misplay this. He played for time, he got some, maybe more than he should have. Trump has used the threat of sanctions to apply pressure rather than applying sanctions to apply pressure with the promise of removing the pressure, should Putin come to peace talks.",0,0
Slava Ukraine!!!,0,0
about a week old video there,0,0
So why do democratic countries support Ukraine? They care for their people because people matter.,0,0
Putin is looking thin and nervous,1,2
,0,0
What is next after the tariff and the secondary sanctions if they fail,1,1
It's like the Hunger Games,0,0
USA needs to stop playing G-D,0,0
How can they support each other when their bunker is so far apart? Dont mind me its just a thought am not even in military,0,1
Slava Ukraine 🇺🇦!,0,0
Lol so he could walk or the mine cured him,0,0
this looked like a cartoon,0,0
woow this lady most of her books about President Putin not Trump,0,0
In other words the US is now ifreyon the global stage. Nice work.,0,0
China and India depend on Russian oil. Why would they put their countries in such a predicament. Huge population and burgeoning middle class means extreme amounts of energy are needed. What would happen if India and China couldn’t get oil from Russia. Then what?,0,1
Wow,0,0
President Chump,1,0
Happpy birthday,0,0
"They keep telling about Russia losing 1500 men every day, how many is Ukraine losing?",5,6
yall talk slow on purpose for some reason???,0,0
frustrated… do u really think Russia is scared about that seriously u feel like laughing to hear all this shit come from your propaganda channel along with this lair experts,3,0
"This is sad , WW3",0,0
Wow,0,0
Such a goood boy that Witkoff Guy,1,0
Viva Ukraine Viva Palestine Outstanding Andre . Get on yer bikes and ride .,4,0
Russian soldiers gave him a break and spared his life,2,0
well done Duck pootin,0,0
"You told us, Russia was out of Ammunition, the truth will surely prevail",7,7
"*Ring ring* ""Suck it Poutine!""",0,0
OOOOOOHHHHH CNN PROPAGANDA AS USUAL. WE NEED THE EPSTEIN FILES AND NOT DIVERSIONS,0,0
Russia cannot be broken,1,0
"Europe need intercessors believe it or not,why would you treat each other like this. Brothers and sisters the world will pass way with all it's fullness but the Word of God will remain forever, the fellows you are killing would also love to live like you and fulfill their dreams.I pray for the peace of every fighting nation. Remember Jesus Christ is the way the truth and the life. Love from Uganda",0,0
Who listens to CNN?,0,0
"still no talks or videos of the f16 shotdown days ago a pilot of the 1st class, Lieutenant Colonel Maksym Ustimenko, born in 1993, died on an F-16 aircraft it seems noone cares about the pilot As of 2024, Russia occupies almost 20% of Ukraine and about 3 to 3.5 million Ukrainians are estimated to be living under occupation; since the invasion, the occupied territories lost roughly half of their population Gen. Mark Milley say ukriane lost two hundred thousand soldiers 200000 publish data on Ukrainian losses during the current conflict on January 14, 2023: 1,157,000 dead 234,000 injured 27,230 in captivity, 934 dead NATO instructors (USA and Great Britain), 32,458 dead NATO servicemen (Germany, Poland, Lithuania, etc.) 15,360 dead mercenaries. but now in 2025 its more like 800000 Russia describes military doctrine as defensive military doctrine. With regard to nuclear weapons specifically, Russia reserves the right to use nuclear weapons: in response to the use of nuclear and other types of weapons of mass destruction against it or its allies,in case of aggression against Russia with the use of conventional weapons when the very existence of the state is threatened How do Russian nuclear weapons compare to the rest of the world? How do Russian nuclear weapons compare to the rest of the world? A message to the future generations Russia - 6,257 America 5,550 UK - 225 France - 290 China - 350 Israel - 90 Pakistan - 165 India - 156 North Korea - 40 youtube this No Nuclear Test Ever Made the US Freak Out Like This and read this Tsar Bomb"", ""Emperor Bomb"", Tsar being derived from Caesar) is the nickname for the AN602 hydrogen bomb, the most powerful nuclear weapon ever detonated. Its October 30, 1961 test remains the most powerful artificial explosion in human history. It was also referred to as Kuz'kina Mat' (Russian: Кузькина мать, Kuzka's mother),[1] referring to Nikita Khrushchev's promise to show the United States a ""Kuz'kina Mat'"" at the 1960 United Nations General Assembly. Developed by the Soviet Union, the bomb had the yield of 50 to 58 megatons of TNT (210 to 240 PJ). Only one bomb of this type was ever officially built and it was tested on October 30, 1961, in the Novaya Zemlya archipelago, at Sukhoy Nos.[2][3][4] The remaining bomb casings are located at the Russian Atomic Weapon Museum, Sarov (Arzamas-16), and the Museum of Nuclear Weapons, All-Russian Research Institute of Technical Physics, Snezhinsk (Chelyabinsk-70). Neither of these casings has the same antenna configuration as the device that was tested. Many names are attributed to the Tsar Bomba in the literature: Project 7000; product code 202 (Izdeliye 202); article designations RDS-220 (РДС-220), RDS-202 (РДС-202), RN202 (PH202), AN602 (AH602); codename Vanya; nicknames Big Ivan, Tsar Bomba, Kuz'kina Mat'. The term ""Tsar Bomba"" was coined in an analogy with two other massive Russian objects: the Tsar Kolokol (Tsar Bell) and the Tsar Pushka (Tsar Cannon). The CIA designated the test as ""JOE 111"". Russia is rapidly expanding its nuclear infrastructure at five key military sites across Belarus and its own territory, according to satellite images reviewed by Business Insider. Captured by Planet Labs, the images show newly constructed bunkers, reinforced perimeters, missile facilities, and signs of nuclear weapon deployment at bases in Asipovichy, Gadzhiyevo, Kaliningrad, Kamchatka, and Novaya Zemlya. Analysts believe the expansion reflects Moscow's push to bolster its nuclear readiness amid military strains in Ukraine and heightened global tensions.",0,0
Putin needs to see reason and think about where russiawill be in 50-100 years because this qasqult on jkraine makes no sense,0,0
What if Putin going to us the 15 day for something else???,0,0
Who cares about what someone thinks? Nobody cares. The SMO goes on.,0,0
"Putin will continue to play trump like a fiddle. Tacovarius, trumps new nickname, as far as Putin is concerned.",0,0
Taco is a traitor,0,0
What shonky business will trump get up to this time? I'll be amazed if he achieves anything constructive.,0,0
"I LOVE that they sent a bike by drone! Ukraine needs more support. Trump is such a moron. He thought he and putin were friends. I hope he's serious now, but I doubt it.",0,0
"Trump taco'd. Said that he'll leave the deadline to Putin. Today, 8/7/25",0,0
Nonsense,0,0
TACO friday,7,2
Putin is a soldier trump doesn’t know anything about war Putin is not intimidated by America,0,0
Was he possibly white?,0,0
Laughable propaganda. Stop the pro war nonsense.,5,0
Whitkoff is going to come back with some more MAGA talking points supplied by Trump's best friend Putin.,0,0
I wonder if Trump will wake up to the real world its not a game ! Or a real estate deal !,0,0
🇨🇦🇪🇺🇬🇧,1,0
"Ukraine will regret forever entrusting itself to Zelensky, who isn't really a Ukrainian either genetically or culturally.",7,1
Just a few more days until taco flips and gives putin more time,0,0
Ukraine can surrender at any time.,0,1
Nick is getting older as he spews more propaganda daily.,0,0
Ukraine needs free elections-,0,0
🇺🇦🇺🇦🇺🇦🇵🇭🇵🇭🇵🇭,0,0
Russians,1,0
can't imagine caring any less about something,0,0
Tarrifs on russia oil,0,0
,1,0
"God bless Russian, Glory to Russian in Jesus Mighty Name Amen, Salam Alaikum, wa Alaikum Salaam,,,,,l",0,0
🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦,0,0
Xxx,0,0
The Americans are constantly talking about DEALS. The Russians are talking about their SECURITY and EXISTENCE of Russia. Russian TERMS or no DEAL. 🇷🇺,0,1
FIRST!!!!!!,0,1
Meanwhile..Zelensky's conscripting 60 year old men&sending them t the front line,0,2
Did he abandon his post/duty? I’m not sure what the story is trying to say?,0,1
Utter woke nonsense,2,5
"Why do I have the feeling, Russians wouldn't have done the same effort to save their soldiers like the Ukrainians did and just let him die?",0,0
Taco it be a new deal,0,0
