text,likes,replies
America thank u for supporting my Ukraine :),11,0
A history lesson may change your veiw. Russia doesn't want a competitor on the border or black sea. 20 years ago ukraine was part of Russia.,0,0
"Afghanistan and now Ukraine, Clarissa Ward and her team have demonstrated amazing bravery and dedication to keeping us informed. Thank you",4,0
100% setting conflick,0,0
Y'all love this don't you.....shame in yall,6,0
Ukraines stores look fuller then here in the US,0,0
Biden and Miley keep escalating the tension. Ukrainian president told Biden to shut his mouth about it and to quit spreading panic amongst the Ukrainian citizens.,6,2
Canada has one of the largest gas/oil reserves on the planet.,0,0
"Rare access??? Come on, this reporter gets all the access around the world sending fake info",4,1
Is this the same woman that smelled backpacks in syria after the alleged chemical weapons attacks?,0,0
"""Congratulations on being named Time magazine's 'Man of the Year' — you definitely deserve it. As you have probably heard, I'm a big fan of yours!""",11,4
NO SIGN OF HEAVY WEAPONS! WHY DONT YOU GIVE THEN THIER POSITIONS TOO WHILE YOUR AT IT,0,0
Thanks to USA for support Ukraine in such dark hours. Together we strong against tyranny God bless America!,16,3
WAG THE DOG COMES TO MIND....,2,0
Why would u want to show the enemy what you have anyway ? I think they purposely didn’t have or show anything,3,0
How about air support.,2,0
"The greatest purveyor of war in the world is ""my own government "". Martin Luther King jr.",4,0
"Why it seem like everyone it’s a war in Europe or something like that, it’s cold as hell outside",0,0
Man I love Clarrisa Ward she's an awesome journalist,3,0
Pregnant NZ woman helped by Taliban for delivery A pregnant New Zealand journalist who was stranded in Afghanistan by her country's Covid boarder policy. The reporter had earlier celled senior Taliban contacts and was told she could give birth in Afghanistan. The offer amounted to a backdown after officials had earlier insisted Bellis needed to reaply force spot in the country's bottlenecked quarantine hotels. Her case was beginning an embarrasment to New Zealand. Bellis was disappointed the decision didn't offer a pathway for other pregnant New Zealanders. Taliban showed humanitarian sympathy for New Zealander woman journalist who needed help on humanitarian ground. It is appreciable indeed.,0,0
"Sad story I was an Iraqi soldier in 2010 I loved a 30-year-old American soldier named Maria from Florida. My military unit was joint with the American army. I used to kiss Maria from her red mouth. I embraced her, but the American forces withdrew in 2012 to the United States. I miss Maria.",6,5
Where are all of the weapons being sent to Ukraine ?,0,0
Did hunter set this interview up? Or the “big guy” ??,6,0
Is this reporter pulling the usual slight of hand? Nobody believes them anymore.,0,0
We’ve got to fix Germany’s reliance on Russian gas and then they’ll finally get on board. Now we got Hungary to contend with too. They’re part of both NATO and the EU yet took a meeting with Putin (heavily condemned by his people & government). But Germany being the largest economy in Europe of course is more significant.,17,20
I pray half the American population does this year,0,0
CNN has financial ties to defense programs—why don’t they disclose this important information that effectively biases their reporting??,3,2
"Please no war, it will be a economic Desaster for all countries, This money could be use for things that make sense!",0,0
"Can you show us a video of 100,000 Russia troops and all of the equipment they require from any US satellite?",3,2
I’ll be pissed low key if I’m on the front lines and ya put the frontlines defenses online,0,0
Yet the Mexican Border still alludes you??,3,0
To je vtipný kde je nepřítel . To budou s Ruskem bojovat tím samopalem ?,0,0
"""We've had no new wars in 5 years. Quick get out there and make the people scared."" I hope Biden doesn't mistake the red button for his button that calls the nurse for a diaper change.",15,3
"""Like the little green men in 2014"" wtf ??",2,0
Welcome to another episode of South Park,1,0
i don't understand. is it a good idea to broadcast our ally having bad defenses??? or like idk ️,8,2
Why are we concerned about the Ukrainian border when our border is being invaded?,16,2
I think we can apply Baudrillards approach regarding the gulf war to this new exciting piece of content that is being manufactured by media here: the Ukrainian border crisis is not happening,1,2
"Thank you for the great analysis. Yes, “It’s a balancing act”, and Lt. Putin wants everybody to be on the edge. This way Putin can increase the price of oil and easily justify his actions!",22,4
Love how CNN always gets rare footage makes me want to puke. These people are liars,0,0
"power that translated into authority actually lost its meaning ..........."" fragile heart""",3,0
"She is a war monger ""every night there is fight once it gets dark""",0,0
"This is like Iraq, where America said they have weapons of mass destruction, the russian do not what Ukraine to join nato, where the difference,",0,0
This is the most non-war EVA!!!,6,0
Who bleave CNN that you report the truth.,0,0
"I must say thank you so much from the USA...in Florida! God Bless the USA, and all of our Allies for Democracy! We must stand united, and work together for peace, climate change, and uniting all good peoples with love.",4,0
"Just imagine who you'd be if your job was having to fight and kill, maybe one day we'll all get along",0,0
Is she really there? Or is this another green screen shot in CNN's studios.,3,1
Для кого эта информация? Вы разжигаете ненависть к Русским,0,0
Clarissa Ward is a fearless journalist,7,6
America talks too much. Russia got a plan that we don't know and it sad. We don't need war,0,0
"She’s probably really somewhere in Ohio, pretending to be on the frontline .",6,3
she said ya basic,0,0
Nice green screen. This is propaganda,8,1
"Why isn´t she more spicfic about how many hours the Russians can reach the city of half a million. There is a difference between two hours and five hours. HUH? This is not my idea of accurate information I would expect from CNN. I guess it depends if the Russians walk, run, drive or fly. If they fly in it would be about 30 Min. Thanks for the info. Also, why doesn´t she notice or comment that the people she interviews have no time to watch Tv and don´t have a TV with US News channels.",0,0
Did Hunter get the rest of his money out of there yet ? Hope so !!!,8,2
"May God Bring peace to the world? Nothing is an Exaggeration. You don't want to Act when the Enemy has you by The Neck. The President has done what any sensable Person would done. I like the Ukrenians Attitude, positive!",2,0
Why is Pakistanis silent Uighur Muslims Answer:- because dollar then Allah,4,1
It think work as a reporter is not really safe work. Please take care!,1,0
Can Fox News send Tucker Carlson to the Russian side to see what it looks like?,5,1
Fake news,1,0
Oops looks like Whoopie just cancelled herself too !!! She's like an overweight Oprah... love her tho !!!,7,1
Wow the Chinese News network is getting great at these studios.,0,0
"A good impartial reporter would visit the opposite party too, but that doesn't fit the low standards of newsfeed from CNN....",7,0
The world needs more reporters like Clarissa Ward,0,0
They already Lost a Lot of Land to Russia. Something tells me to Not give much Weightage to their Judgement.,3,0
You should probably send a real reporter that's going to ask real questions and not try to giveaway valuable information,1,0
Trump 2024,13,3
"Japan bombs Pearl Harbor, accuses US of saber rattling.",1,0
Why do you suppose such large segments of the American electorate have come to harbor such profound concerns about Brandon's cognitive fitness,16,6
What does it look like on the Russian side?,0,1
DEMS: we must help Ukraines border Also DEMS: we must destroy America's birder,3,1
"Wow, something besides bashing Trump! Actual news?",0,0
"Mariupol didn't want Kiev / Lviv or the Russians there in 2014, choosing independence and a self determining referendum instead... and yet our lovely ""allies"" drove BMPs through the city barricades and murdered the entire police force while seizing the station, the government buildings and it's critically important (and protfitable) industrial heart (built by the soviets). This act was really the catalyst for the territories further east to then seek Russian arms, personnel and ""protection"". It remains an occupied city to this day. Which is probably why Countess Clarissa didn't stay the night and there were zero shots of the city common spaces, only of the burned out villages purged by the Lviv born fascists in the Azov and Dnipro battalions under Right Sector direction. The Azov Battalion, which was founded the grandsons of literal UVA natzees and have the natzee era ""Black Sun"" icon in their regimental badge, is still ""stationed"" there. That, more than anything, is why the citizenry are unconcerned, most of them probably think the Russians would treat them better by this point.",3,1
I open a coffin business right now!,0,0
Thank you Brandon!,3,0
Dang she's adventurous.. I really hope a peaceful resolution can be found. Nobody needs ww3 over Ukraine and Russia.,2,1
LET'S GO BRANDON,9,4
"Results of South Carolina Citizen-Led Ballot Canvass of 2020 General Election too be Presented on Saturday, February 5, 2022 in Columbia, S.C.",0,0
Bring Putin to justice ala Nuremberg style trial and sentencing!,3,0
"If Russians invade, Ucranians won’t be a match and would be abandoning High tech weapons ….Americans, NATO’s presents!",0,0
Shopkeepers with their heads in the sand.,3,0
There is no current front line.,0,1
Mind your own business ️ American people and bloodshed ! Let's fight in Jersey ️,3,0
